RK,RUNNING BACK,TM,BYE,FPS,VORP
1,Christian McCaffrey,SF,14,311.128294,162.6150511
2,Jahmyr Gibbs,DET,8,283.1212283,140.2093986
3,Bijan Robinson,ATL,5,274.9915559,133.7056606
4,Saquon Barkley,PHI,9,265.4097333,126.0402026
5,Derrick Henry,BAL,7,264.0537992,124.9554553
6,Bucky Irving,TB,9,262.6742505,123.8518164
7,Josh Jacobs,GB,5,250.0754761,113.7727968
8,De'Von Achane,MIA,12,249.3592015,113.1997771
9,Jonathan Taylor,IND,11,239.6262942,105.4134513
10,Kyren Williams,LAR,8,238.9311553,104.8573402
11,Alvin Kamara,NO,11,237.14694,103.429968
12,Chase Brown,CIN,10,232.3090005,99.55961635
13,Ashton Jeanty,LV,8,227.1826659,95.45854866
14,Omarion Hampton,LAC,12,225.6436416,94.22732923
15,James Conner,ARI,8,216.0258686,86.5331108
16,Chuba Hubbard,CAR,14,210.9251689,82.45255108
17,Kenneth Walker,SEA,8,203.2254099,76.29274386
18,TreVeyon Henderson,NE,14,202.6275867,75.81448527
19,James Cook,BUF,7,195.1887925,69.86344989
20,Isiah Pacheco,KC,10,193.7615784,68.72167865
21,D'Andre Swift,CHI,5,191.7622906,67.12224843
22,Aaron Jones,MIN,6,183.3711291,60.40931918
23,Breece Hall,NYJ,9,181.5630909,58.96288867
24,RJ Harvey,DEN,12,176.1631254,54.64291628
25,Tony Pollard,TEN,10,172.4250094,51.65242344
26,Jaylen Warren,PIT,5,170.447267,50.07022949
27,Javonte Williams,DAL,10,168.1662818,48.24544133
28,Tyrone Tracy,NYG,14,167.5575677,47.75847008
29,David Montgomery,DET,8,164.5430571,45.34686162
30,J.K. Dobbins,DEN,12,159.9420431,41.66605044
31,Jacory Croskey-Merritt,WSH,12,156.56854,38.96724791
32,Travis Etienne,JAX,8,149.4837816,33.2994412
33,Kaleb Johnson,PIT,5,147.2291496,31.49573558
34,Austin Ekeler,WSH,12,145.3454148,29.9887478
35,Cam Skattebo,NYG,14,142.049207,27.35178157
36,Ollie Gordon,MIA,12,139.6367887,25.42184692
37,Jordan Mason,MIN,6,136.5921378,22.98612621
38,Zach Charbonnet,SEA,8,134.9013811,21.63352085
39,Dylan Sampson,CLE,9,133.8243641,20.77190723
40,Jaydon Blue,DAL,10,121.9406047,11.26489971
41,Nick Chubb,HOU,6,120.9960453,10.50925216
42,Quinshon Judkins,CLE,9,119.7178052,9.48666008
43,Tyjae Spears,TEN,10,111.2346129,2.700106285
44,Rhamondre Stevenson,NE,14,107.8594801,0
45,Ray Davis,BUF,7,97.06459424,-8.63590868
46,Najee Harris,LAC,12,93.92020871,-11.1514171
47,Trey Benson,ARI,8,92.32453022,-12.42795989
48,Tank Bigsby,JAX,8,91.98012804,-12.70348163
49,Rachaad White,TB,9,91.88655495,-12.77834011
50,Tyler Allgeier,ATL,5,91.77415796,-12.8682577
51,Kendre Miller,NO,11,89.1826445,-14.94146847
52,Brashard Smith,KC,10,88.17271205,-15.74941443
53,Rico Dowdle,CAR,14,85.69071134,-17.73501499
54,Jerome Ford,CLE,9,85.48201317,-17.90197353
55,Joe Mixon,HOU,6,84.84043011,-18.41523998
56,Braelon Allen,NYJ,9,79.99901924,-22.28836867
57,Brian Robinson,SF,14,76.6772768,-24.94576263
58,Tahj Brooks,CIN,10,75.03182193,-26.26212652
59,Kyle Monangai,CHI,5,73.39902785,-27.56836179
60,Woody Marks,HOU,6,73.27732683,-27.6657226
61,Kenneth Gainwell,PIT,5,72.986134,-27.89867687
62,Will Shipley,PHI,9,67.61984775,-32.19170587
63,Bhayshul Tuten,JAX,8,64.66021359,-34.55941319
64,Jaylen Wright,MIA,12,60.56695153,-37.83402285
65,Raheem Mostert,LV,8,60.44898268,-37.92839793
66,Roschon Johnson,CHI,5,60.43835017,-37.93690394
67,DJ Giddens,IND,11,59.3623203,-38.79772783
68,Chris Rodriguez,WSH,12,59.16867112,-38.95264718
69,Keaton Mitchell,BAL,7,54.92727158,-42.3457668
70,Chris Brooks,GB,5,52.81593083,-44.0348394
71,Jarquez Hunter,LAR,8,52.351891,-44.40607127
72,Kareem Hunt,KC,10,52.24827396,-44.4889649
73,Miles Sanders,DAL,10,51.80916087,-44.84025537
74,Blake Corum,LAR,8,51.06307147,-45.43712689
75,Devin Neal,NO,11,49.5158109,-46.67493535
76,Samaje Perine,CIN,10,43.18276592,-51.74137133
77,Dameon Pierce,HOU,6,39.87810111,-54.38510318
78,Ty Johnson,BUF,7,38.29134111,-55.65451118
79,Isaac Guerendo,SF,14,36.95206609,-56.7259312
80,Isaiah Davis,NYJ,9,31.07714014,-61.42587196
81,MarShawn Lloyd,GB,5,29.2133472,-62.91690631
82,Sean Tucker,TB,9,28.94746178,-63.12961464
